time,U9911498@I100000,U9998903@I100000,U10285466@I100000,U10404574@I100000,U10223477@I100000,U10352714@I100000,U10128605@I100000,U9896460@I100000,U7473003@I100000,U10298453@I100000,U9981324@I100000,U10415638@I100000,U9907379@I100000,U10496144@I100000,U10091029@I100000,U2709709@I100000,U3149464@I100000,U10438653@I100000,U4262739@I100000,U10351844@I100000,U10359048@I100000,U3136808@I100000,U10221583@I100000,U9416899@I100000,U9800208@I100000,U7602223@I100000,U9718474@I100000,U9346578@I100000,U10410921@I100000,U10262895@I100000,U9606930@I100000,U10264741@I100000,U2778158@I100000,U9957042@I100000,U10414908@I100000,U2633094@I100000,U10066786@I100000,U10242639@I100000,U10398866@I100000,U10052346@I100000,U3943831@I100000,U10138686@I100000,U3736253@I100000,U9119553@I100000,U10390405@I100000,U10388893@I100000,U10356891@I100000,U10394995@I100000,U8941358@I100000,U9845204@I100000,gains
1577491200,?,?,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,TRUE,?,?,?,?,?,TRUE,?,?,?,?,TRUE,TRUE,?,TRUE,?,TRUE,?,?,?,?,?,?,?,?,?,?,TRUE,?,?,?,UP
1577404800,?,?,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,TRUE,?,?,?,?,?,TRUE,?,?,?,?,TRUE,TRUE,?,TRUE,?,TRUE,?,?,?,?,?,?,?,?,?,?,TRUE,?,?,?,UP
1577318400,?,?,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,TRUE,?,?,?,?,?,TRUE,?,?,?,?,TRUE,TRUE,?,TRUE,?,TRUE,?,?,?,?,?,?,?,?,?,?,TRUE,?,?,?,UP
1577232000,?,?,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,TRUE,?,?,?,?,?,TRUE,?,?,?,?,TRUE,TRUE,?,TRUE,?,TRUE,?,?,?,?,?,?,?,?,?,?,TRUE,?,?,?,UP
1577145600,?,?,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,TRUE,?,?,?,?,?,TRUE,?,?,?,?,TRUE,TRUE,?,TRUE,?,TRUE,?,?,?,?,?,?,?,?,?,?,TRUE,?,?,?,UP
1577059200,?,?,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,TRUE,?,?,?,?,?,TRUE,?,?,?,?,TRUE,TRUE,?,TRUE,?,TRUE,?,?,?,?,?,?,?,?,?,?,TRUE,?,?,?,UP
1576972800,?,?,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,?,TRUE,?,?,?,?,?,TRUE,?,?,?,?,TRUE,TRUE,?,TRUE,?,TRUE,?,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1576886400,?,?,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,?,TRUE,?,?,?,?,?,TRUE,?,?,?,?,TRUE,TRUE,?,TRUE,?,TRUE,?,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1576800000,?,?,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,?,TRUE,?,?,?,?,?,TRUE,?,?,?,?,TRUE,TRUE,?,TRUE,?,TRUE,?,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1576713600,?,?,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,TRUE,?,?,?,?,?,TRUE,?,?,?,?,TRUE,TRUE,?,TRUE,?,TRUE,?,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1576627200,?,?,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,TRUE,?,TRUE,?,TRUE,?,?,?,TRUE,?,?,?,?,TRUE,TRUE,?,TRUE,?,TRUE,?,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1576540800,?,FALSE,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,TRUE,?,?,?,?,?,TRUE,?,?,?,?,?,TRUE,?,?,?,?,TRUE,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1576454400,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,?,TRUE,?,?,?,?,?,TRUE,?,?,?,?,TRUE,TRUE,?,TRUE,?,TRUE,TRUE,?,?,?,?,?,TRUE,FALSE,?,?,TRUE,?,?,?,UP
1576368000,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,?,TRUE,?,?,?,TRUE,?,TRUE,?,?,?,?,TRUE,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,?,TRUE,FALSE,?,?,TRUE,?,?,?,UP
1576281600,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,TRUE,?,?,?,?,TRUE,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1576195200,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,?,TRUE,?,?,?,TRUE,?,TRUE,?,?,?,?,TRUE,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1576108800,?,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,?,TRUE,?,?,?,TRUE,?,TRUE,?,?,?,?,TRUE,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1576022400,?,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1575936000,?,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,FALSE,?,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1575849600,?,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,FALSE,?,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1575763200,?,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1575676800,?,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1575590400,?,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,DOWN
1575504000,?,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,-
1575417600,?,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,UP
1575331200,?,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,TRUE,FALSE,?,?,TRUE,?,?,?,DOWN
1575244800,?,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,DOWN
1575158400,?,TRUE,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,TRUE,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,DOWN
1575072000,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,TRUE,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,DOWN
1574985600,?,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,TRUE,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,DOWN
1574899200,?,TRUE,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,TRUE,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,TRUE,?,?,?,TRUE,?,?,?,DOWN
1574812800,?,TRUE,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,TRUE,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,?,TRUE,?,?,?,DOWN
1574726400,?,TRUE,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,TRUE,?,?,?,?,TRUE,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,?,TRUE,?,?,?,UP
1574640000,?,TRUE,TRUE,TRUE,TRUE,?,TRUE,TRUE,TRUE,TRUE,TRUE,?,?,TRUE,?,?,?,?,TRUE,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,?,TRUE,?,?,?,-
1574553600,?,FALSE,TRUE,TRUE,TRUE,?,TRUE,TRUE,FALSE,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,TRUE,?,?,FALSE,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,FALSE,?,?,?,TRUE,?,?,?,UP
1574467200,?,TRUE,TRUE,TRUE,TRUE,?,TRUE,TRUE,FALSE,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,TRUE,?,?,TRUE,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,FALSE,?,?,?,TRUE,?,?,?,-
1574380800,?,FALSE,TRUE,TRUE,TRUE,?,TRUE,TRUE,FALSE,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,TRUE,?,?,TRUE,TRUE,?,TRUE,TRUE,?,?,?,TRUE,?,?,TRUE,TRUE,TRUE,TRUE,?,?,?,?,?,FALSE,?,?,?,TRUE,?,?,?,-
1574294400,?,FALSE,?,TRUE,TRUE,?,TRUE,TRUE,FALSE,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,TRUE,?,?,TRUE,TRUE,?,TRUE,TRUE,?,?,?,?,?,?,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,?,?,TRUE,?,?,?,DOWN
1574208000,?,FALSE,?,TRUE,TRUE,?,TRUE,TRUE,FALSE,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,?,?,?,FALSE,TRUE,?,TRUE,TRUE,?,?,?,?,?,?,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DOWN
1574121600,?,FALSE,?,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,?,?,?,FALSE,TRUE,?,TRUE,TRUE,?,?,?,?,?,?,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DOWN
1574035200,?,TRUE,?,TRUE,TRUE,FALSE,TRUE,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,?,?,?,FALSE,TRUE,?,TRUE,TRUE,?,?,?,?,?,?,TRUE,TRUE,TRUE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DOWN
1573948800,?,TRUE,?,TRUE,TRUE,FALSE,TRUE,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,?,?,?,TRUE,TRUE,?,TRUE,TRUE,?,?,?,?,?,?,TRUE,TRUE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DOWN
1573862400,?,TRUE,?,TRUE,TRUE,FALSE,TRUE,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,?,?,?,FALSE,TRUE,?,TRUE,TRUE,?,?,?,?,?,?,TRUE,TRUE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DOWN
1573776000,?,TRUE,?,TRUE,TRUE,FALSE,TRUE,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,?,?,?,FALSE,TRUE,?,TRUE,TRUE,?,?,?,?,?,?,TRUE,TRUE,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,DOWN
1573689600,?,TRUE,?,TRUE,TRUE,?,TRUE,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,?,?,?,?,?,?,TRUE,?,?,DOWN
1573603200,?,TRUE,?,TRUE,TRUE,?,TRUE,TRUE,FALSE,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,?,?,?,?,?,?,TRUE,?,?,DOWN
1573516800,?,TRUE,?,TRUE,TRUE,?,TRUE,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,?,?,?,?,?,?,TRUE,?,?,DOWN
1573430400,?,FALSE,?,TRUE,TRUE,?,TRUE,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,?,?,?,?,?,?,TRUE,?,?,DOWN
1573344000,?,TRUE,?,TRUE,?,?,TRUE,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,TRUE,?,?,?,?,?,?,?,TRUE,?,?,DOWN
1573257600,?,FALSE,?,TRUE,?,?,TRUE,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,TRUE,?,?,?,?,?,?,?,TRUE,?,?,DOWN
1573171200,?,FALSE,?,TRUE,?,?,TRUE,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,?,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,TRUE,?,?,?,?,?,?,?,TRUE,?,?,DOWN
1573084800,?,TRUE,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,TRUE,?,?,?,?,?,?,?,TRUE,?,?,DOWN
1572998400,?,TRUE,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,TRUE,TRUE,?,TRUE,?,?,?,?,?,?,?,?,?,?,DOWN
1572912000,?,TRUE,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,TRUE,TRUE,?,TRUE,?,?,?,?,?,?,?,?,?,?,DOWN
1572825600,?,TRUE,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,TRUE,TRUE,?,TRUE,?,?,?,?,?,?,?,?,?,?,DOWN
1572739200,?,TRUE,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,TRUE,TRUE,?,TRUE,?,?,?,?,?,?,?,?,?,?,DOWN
1572652800,?,TRUE,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,TRUE,TRUE,?,TRUE,?,?,?,?,?,?,?,?,?,?,DOWN
1572566400,?,TRUE,TRUE,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,TRUE,TRUE,?,TRUE,?,?,?,?,?,?,?,?,?,?,DOWN
1572480000,?,FALSE,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,FALSE,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,?,?,?,?,?,?,?,?,?,?,DOWN
1572393600,?,FALSE,?,TRUE,?,?,?,TRUE,?,TRUE,TRUE,?,?,?,?,?,FALSE,TRUE,TRUE,?,?,?,?,TRUE,?,FALSE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,?,?,?,?,?,?,?,?,?,?,DOWN
1572307200,?,TRUE,?,TRUE,?,?,TRUE,TRUE,?,TRUE,TRUE,?,?,?,?,?,FALSE,TRUE,TRUE,?,?,?,?,TRUE,?,FALSE,TRUE,?,?,?,?,TRUE,?,TRUE,TRUE,?,?,TRUE,?,?,?,?,?,?,?,?,?,?,?,?,DOWN
1572220800,?,TRUE,?,TRUE,?,?,TRUE,TRUE,?,TRUE,TRUE,?,?,?,?,?,FALSE,TRUE,TRUE,?,?,?,?,TRUE,?,FALSE,TRUE,?,?,?,?,?,?,TRUE,TRUE,?,?,TRUE,?,?,?,?,?,?,?,?,?,?,?,?,DOWN
1572134400,TRUE,TRUE,?,TRUE,?,?,TRUE,TRUE,?,TRUE,TRUE,?,?,?,?,?,FALSE,TRUE,TRUE,?,?,?,?,TRUE,?,FALSE,TRUE,?,?,?,?,?,?,TRUE,TRUE,?,?,TRUE,?,TRUE,?,?,?,?,?,?,?,?,?,?,DOWN
1572048000,?,TRUE,?,TRUE,?,TRUE,TRUE,TRUE,?,TRUE,TRUE,?,?,?,?,?,FALSE,TRUE,TRUE,?,?,?,?,TRUE,?,FALSE,TRUE,?,?,?,?,?,?,TRUE,TRUE,?,?,TRUE,?,TRUE,?,?,?,?,?,?,?,?,?,?,DOWN
